address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
615 62nd St,Oakland  CA 94609,2,1.0,1154,1923,37.847756,-122.266026,,,http://www.zillow.com/homedetails/615-62nd-St-Oakland-CA-94609/24755351_zpid/,http://www.zillow.com/homedetails/615-62nd-St-Oakland-CA-94609/24755351_zpid/#charts-and-data,http://www.zillow.com/homes/24755351_zpid/,http://www.zillow.com/homes/comps/24755351_zpid/,24755351,751811,03/13/2016,,,0.26065293851,750000,10/14/2015,3.0
759 Alcatraz Ave,Oakland  CA 94609,3,2.0,1214,1910,37.84903,-122.267474,,,http://www.zillow.com/homedetails/759-Alcatraz-Ave-Oakland-CA-94609/24755424_zpid/,http://www.zillow.com/homedetails/759-Alcatraz-Ave-Oakland-CA-94609/24755424_zpid/#charts-and-data,http://www.zillow.com/homes/24755424_zpid/,http://www.zillow.com/homes/comps/24755424_zpid/,24755424,841357,03/13/2016,,,0.33869663148,802000,11/24/2015,6.0
656 58th St,Oakland  CA 94609,2,1.0,1244,1938,37.843519,-122.267147,,,http://www.zillow.com/homedetails/656-58th-St-Oakland-CA-94609/24755464_zpid/,http://www.zillow.com/homedetails/656-58th-St-Oakland-CA-94609/24755464_zpid/#charts-and-data,http://www.zillow.com/homes/24755464_zpid/,http://www.zillow.com/homes/comps/24755464_zpid/,24755464,866772,03/13/2016,,,0.463398509836,865000,09/30/2015,5.0
617 60th St,Oakland  CA 94609,3,1.0,1227,1908,37.845639,-122.265716,,,http://www.zillow.com/homedetails/617-60th-St-Oakland-CA-94609/24755529_zpid/,http://www.zillow.com/homedetails/617-60th-St-Oakland-CA-94609/24755529_zpid/#charts-and-data,http://www.zillow.com/homes/24755529_zpid/,http://www.zillow.com/homes/comps/24755529_zpid/,24755529,758268,03/13/2016,,,0.306415013984,618000,12/08/2015,3.0
541 63rd St,Oakland  CA 94609,2,1.0,1106,1923,37.848332,-122.262323,,,http://www.zillow.com/homedetails/541-63rd-St-Oakland-CA-94609/24755765_zpid/,http://www.zillow.com/homedetails/541-63rd-St-Oakland-CA-94609/24755765_zpid/#charts-and-data,http://www.zillow.com/homes/24755765_zpid/,http://www.zillow.com/homes/comps/24755765_zpid/,24755765,662978,03/13/2016,,,0.0550149749661,700000,01/14/2016,1.0
principal_arv,mao_light,mao_med,mao_high
724285,451679.5,440159.5,422879.5

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
4541 THOMPSON St,Oakland  CA 94601,2,1.0,948,1906,37.776605,-122.206764,http://www.redfin.com/CA/Oakland/4541-Thompson-St-94601/home/1670906,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24781831,http://www.zillow.com/homedetails/4541-Thompson-St-Oakland-CA-94601/24781831_zpid/,http://www.zillow.com/homedetails/4541-Thompson-St-Oakland-CA-94601/24781831_zpid/#charts-and-data,http://www.zillow.com/homes/24781831_zpid/,http://www.zillow.com/homes/comps/24781831_zpid/,24781831,363690,03/13/2016,2250,03/14/2016,0
