"","S","MLS #","Street Address","Price","DOM","Beds Total","Bths","Sq Ft Total","Lot Size","Postal City","Property Sub Type","Age"
"1","S","ML81520339","2262 Glenkirk Court","$1,310,000","16","4","2|1","1,940","8,834 SqFt","San Jose","Res. Single Family","50"
"1","S","ML81547328","1067 Moongate Place","$1,309,000","14","4","2|1","2,240","8,050 SqFt","San Jose","Res. Single Family","47"
"1","S","ML81546519","2371 Carlton Avenue","$1,305,000","11","3","2|0","1,602","6,970 SqFt","San Jose","Res. Single Family","60"
"1","S","ML81549372","4981 Bel Estos Drive","$1,303,000","6","4","2|0","1,346","6,678 SqFt","San Jose","Res. Single Family","59"
"1","S","ML81563654","3123 Shriver Drive","$1,302,000","5","4","2|1","2,370","7,589 SqFt","San Jose","Res. Single Family","44"
"1","S","ML81549111","6280 Via De Adrianna","$1,301,000","7","4","2|1","1,974","10,428 SqFt","San Jose","Res. Single Family","43"
"1","S","ML81520410","5845 Pistoia Way","$1,300,000","219","4","2|1","2,485","5,000 SqFt","San Jose","Res. Single Family","19"
"1","S","ML81521437","4603 Marbella Court","$1,300,000","22","4","2|1","1,671","4,589 SqFt","San Jose","Res. Single Family","22"
"1","A","ML81545613","4285 Mckinnon Drive","$1,300,000","100","3","2|0","1,239","5,998 SqFt","San Jose","Res. Single Family","55"
"1","S","ML81546007","979 Terra Bella Avenue","$1,300,000","10","3","2|0","1,896","8,282 SqFt","San Jose","Res. Single Family","78"
"1","S","ML81546128","14513 Homerite Drive","$1,300,000","9","5","3|0","2,263","11,232 SqFt","San Jose","Res. Single Family","65"
"1","S","ML81562377","6017 Majorca Court","$1,300,000","6","4","3|0","2,200","8,000 SqFt","San Jose","Res. Single Family","43"
"1","P","ML81545505","6815 Rockview Court","$1,299,000","57","4","2|1","2,760","13,482 SqFt","San Jose","Res. Single Family","39"
"1","P","ML81550263","1305 Hanchett Avenue","$1,299,000","14","3","2|1","2,265","5,600 SqFt","San Jose","Res. Single Family","93"
"1","AC","ML81550626","2088 Ardis Drive","$1,299,000","39","3","2|0","2,215","5,336 SqFt","San Jose","Res. Single Family","66"
"1","P","ML81563357","1518 Quiet Pond Lane","$1,299,000","11","4","3|0","2,711","5,837 SqFt","San Jose","Res. Single Family","12"
"1","P","ML81564650","6146 Calle Esperanza","$1,299,000","8","5","2|1","2,070","7,919 SqFt","San Jose","Res. Single Family","44"
"1","P","ML81565228","1286 Ridley Way","$1,299,000","10","2","2|0","1,412","8,280 SqFt","San Jose","Res. Single Family","61"
"1","P","ML81565335","6767 Heathfield","$1,299,000","5","5","3|0","2,585","8,050 SqFt","San Jose","Res. Single Family","47"
"1","P","ML81566042","4834 Clarendon Drive","$1,299,000","13","3","2|0","1,346","6,242 SqFt","San Jose","Res. Single Family","58"
"1","P","ML81576862","6986 Bret Harte Drive","$1,299,000","0","5","2|1","2,496","8,050 SqFt","San Jose","Res. Single Family","47"
"1","P","ML81566191","5488 Taft Drive","$1,299,000","11","4","2|1","1,769","6,826 SqFt","San Jose","Res. Single Family","56"
"1","A","ML81577742","447 Casa Blanca Drive","$1,299,000","7","3","2|0","1,254","8,002 SqFt","San Jose","Res. Single Family","57"
"1","A","ML81577876","1150 Thornbury Lane","$1,299,000","6","4","3|1","2,905","6,273 SqFt","San Jose","Res. Single Family","12"
"1","A","ML81578010","1578 Monteval Lane","$1,299,000","5","4","2|1","2,013","7,876 SqFt","San Jose","Res. Single Family","51"
"1","A","ML81578041","1129 Andrea Drive","$1,299,000","5","4","3|0","2,199","11,387 SqFt","San Jose","Res. Single Family","54"
"1","P","ML81563830","1941 Borchers Drive","$1,298,888","19","4","2|0","2,484","8,024 SqFt","San Jose","Res. Single Family","63"
"1","A","ML81578720","1754 Cherry Grove Drive","$1,298,000","1","3","2|0","1,693","7,349 SqFt","San Jose","Res. Single Family","59"
"1","AC","ML81549694","1636 Knollwood Avenue","$1,297,000","41","4","2|0","1,783","6,181 SqFt","San Jose","Res. Single Family","55"
"1","A","ML81547641","21420 Fortini Road","$1,295,000","72","3","2|0","1,796","41,382 SqFt","San Jose","Res. Single Family","69"
"1","AC","ML81562180","341 Page Street","$1,290,900","14","4","2|0","2,100","10,156 SqFt","San Jose","Res. Single Family","116"
"1","AC","ML81547914","440 S Genevieve Lane","$1,289,000","23","4","3|0","2,526","9,505 SqFt","San Jose","Res. Single Family","65"
"1","S","ML81522484","4415 Vanderbilt Drive","$1,288,888","11","4","3|0","1,938","6,180 SqFt","San Jose","Res. Single Family","54"
"1","S","ML81533853","3490 Parkland Avenue","$1,288,312","16","4","3|0","2,172","9,690 SqFt","San Jose","Res. Single Family","56"
"1","P","ML81533323","3923 Sophist Drive","$1,288,000","105","5","2|1","3,140","14,431 SqFt","San Jose","Res. Single Family","50"
"1","S","ML81547409","827 Villa Rosa Place","$1,288,000","14","4","2|1","2,646","5,231 SqFt","San Jose","Res. Single Family","12"
"1","AC","ML81563737","1199 CRESCENT Drive","$1,288,000","4","3","1|1","1,430","6,890 SqFt","San Jose","Res. Single Family","74"
