prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
190950,190,35175,45225,60300,103037.5,92987.5,77912.5

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2665,76TH Ave,Oakland,CA,94605,168,40719042,2,1.0,1145,3497,1948,37.766212,-122.172745,http://www.redfin.com/CA/Oakland/2665-76th-Ave-94605/home/1881984,,http://www.zillow.com/homedetails/2665-76th-Ave-Oakland-CA-94605/24792942_zpid/,http://www.zillow.com/homedetails/2665-76th-Ave-Oakland-CA-94605/24792942_zpid/#charts-and-data,http://www.zillow.com/homes/24792942_zpid/,http://www.zillow.com/homes/comps/24792942_zpid/,24792942,324183,04/01/2016,2300,04/05/2016,0,3
redfin,8407,Plymouth St,Oakland,CA,94621,0,,2,1.0,1023,1760,1927,37.755665,-122.174568,,,http://www.zillow.com/homedetails/8407-Plymouth-St-Oakland-CA-94621/24797639_zpid/,http://www.zillow.com/homedetails/8407-Plymouth-St-Oakland-CA-94621/24797639_zpid/#charts-and-data,http://www.zillow.com/homes/24797639_zpid/,http://www.zillow.com/homes/comps/24797639_zpid/,24797639,235044,04/01/2016,,,0.73549793866,0,210000,10/30/2015,9.0,205
redfin,8332,Golf Links Rd,Oakland,CA,94605,0,,2,1.0,1374,3838,1927,37.762327,-122.162185,,,http://www.zillow.com/homedetails/8332-Golf-Links-Rd-Oakland-CA-94605/24799220_zpid/,http://www.zillow.com/homedetails/8332-Golf-Links-Rd-Oakland-CA-94605/24799220_zpid/#charts-and-data,http://www.zillow.com/homes/24799220_zpid/,http://www.zillow.com/homes/comps/24799220_zpid/,24799220,482940,04/01/2016,,,0.636196072746,0,415000,08/06/2015,6.0,302
redfin,6218,Monadnock Way,Oakland,CA,94605,0,,2,1.0,891,3895,1923,37.775121,-122.179629,,,http://www.zillow.com/homedetails/6218-Monadnock-Way-Oakland-CA-94605/24785496_zpid/,http://www.zillow.com/homedetails/6218-Monadnock-Way-Oakland-CA-94605/24785496_zpid/#charts-and-data,http://www.zillow.com/homes/24785496_zpid/,http://www.zillow.com/homes/comps/24785496_zpid/,24785496,400844,04/01/2016,,,0.721291702888,0,550000,02/16/2016,10.0,617
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
428230,374,40075,51525,68700,271097.5,259647.5,242472.5

