SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,6193 OAKDALE Ave,Oakland,CA,94605,900000,3,2.5,Oakland,2020,5207,2004,1,Garage,233,Active,,,,,900000,,,http://www.redfin.com/CA/Oakland/6193-Oakdale-Ave-94605/home/104125766,East Bay Regional Data (EBRD),40709929,Blue Sapphire Homes,N,Y,37.778163,-122.175602,false
MLS Listing,Single Family Residential,640 Hiller Dr,Oakland,CA,94618-2353,1890000,4,3.5,Hiller Highlands,,6335,2015,2,Garage,231,Active,,,,,1890000,2015-03-12,495000.0,http://www.redfin.com/CA/Oakland/640-Hiller-Dr-94618/home/22700538,East Bay Regional Data (EBRD),40710134,Realty One Group AMR,N,Y,37.852148,-122.229716,false
MLS Listing,Single Family Residential,8451 ASTER Ave,Oakland,CA,94605,685000,4,3.0,Golf Links,2434,6240,1957,2,Garage,221,Active,,,,2015-09-04,700000,2004-02-11,439000.0,http://www.redfin.com/CA/Oakland/8451-Aster-Ave-94605/home/585060,East Bay Regional Data (EBRD),40711605,Bay Cities Rlty & Home Loan,N,Y,37.763308,-122.158839,false
MLS Listing,Multi-Family (2-4 Unit),2601 38th Ave,Oakland,CA,94619-1003,349000,7,4.0,Oakland,1881,1313,1918,1,Garage,216,Active,,,,2015-09-23,449000,2011-04-19,80000.0,http://www.redfin.com/CA/Oakland/2601-38th-Ave-94619/home/1962815,East Bay Regional Data (EBRD),40712268,EZ LOAN REALTY,N,Y,37.7855629,-122.2073905,false
MLS Listing,Single Family Residential,541 E 17th St,Oakland,CA,94606,499000,3,1.0,New China Town,1613,2464,1905,0,,211,Active,,,,,499000,2008-03-13,270000.0,http://www.redfin.com/CA/Oakland/541-E-17th-St-94606/home/532732,East Bay Regional Data (EBRD),40712771,Alliance Bay Realty,N,Y,37.7971131,-122.2506458,false
MLS Listing,Single Family Residential,6923 HAMILTON Ave,Oakland,CA,94621,239900,3,2.0,E Oakland,658,2375,1928,0,,202,Active,,,,2016-01-16,249999,2015-01-05,62000.0,http://www.redfin.com/CA/Oakland/6923-Hamilton-St-94621/home/1405046,East Bay Regional Data (EBRD),40713951,Community Realty & Invest,N,Y,37.758479,-122.192747,false
MLS Listing,Vacant Land,0 Arrowhead Dr (Unable to map),Oakland,CA,94611,75000,,,Oakland,,7554,,1,Garage,198,Active,,,,,75000,1989-04-14,16000.0,http://www.redfin.com/CA/Oakland/Arrowhead-Dr-94611/home/22697127,East Bay Regional Data (EBRD),40714422,BHHS DRYSDALE PROPERTIES,N,Y,,,false
MLS Listing,Vacant Land,6666 Moore Dr,Oakland,CA,94611,110000,,,Oakland,,6833,,1,Garage,182,Active,,,,,110000,,,http://www.redfin.com/CA/Oakland/6666-Moore-Dr-94611/home/79953374,East Bay Regional Data (EBRD),40716584,WELLS & BENNETT REALTORS,N,Y,37.832327,-122.1888449,false
MLS Listing,Vacant Land,8930 MacArthur Blvd,Oakland,CA,94605,499000,,,Oakland,,8400,,0,,179,Active,,,,2016-01-08,500000,,,http://www.redfin.com/CA/Oakland/8930-MacArthur-Blvd-94605/home/101105635,San Francisco Association of Realtors (SFARMLS),438136,Coldwell Banker Res. R.E. Svcs,N,Y,37.755903,-122.161182,false
MLS Listing,Multi-Family (5+ Unit),3400 High St,Oakland,CA,94619-1844,649000,9,6.0,Oakland,3000,7200,1964,9,Garage,176,Active,,,,,649000,1996-06-18,240000.0,http://www.redfin.com/CA/Oakland/3400-High-St-94619/home/2044834,East Bay Regional Data (EBRD),40717358,EZ LOAN REALTY,N,Y,37.7858302,-122.1969059,false
