prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,4231,Ridgemont Ct,Oakland,CA,94619,0,,3,2.0,2403,6816,1985,37.785156,-122.16739,,,http://www.zillow.com/homedetails/4231-Ridgemont-Ct-Oakland-CA-94619/24787145_zpid/,http://www.zillow.com/homedetails/4231-Ridgemont-Ct-Oakland-CA-94619/24787145_zpid/#charts-and-data,http://www.zillow.com/homes/24787145_zpid/,http://www.zillow.com/homes/comps/24787145_zpid/,24787145,932687,04/01/2016,,,0.131151093804,0,889000,08/04/2015,2.0,369
redfin,4232,Ridgemont Ct,Oakland,CA,94619,0,,3,2.5,2736,10018,1986,37.78554,-122.167061,,,http://www.zillow.com/homedetails/4232-Ridgemont-Ct-Oakland-CA-94619/24787151_zpid/,http://www.zillow.com/homedetails/4232-Ridgemont-Ct-Oakland-CA-94619/24787151_zpid/#charts-and-data,http://www.zillow.com/homes/24787151_zpid/,http://www.zillow.com/homes/comps/24787151_zpid/,24787151,1034594,04/01/2016,,,0.148064424038,0,1000000,07/23/2015,3.0,365
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
845533,337,87815,112905,150540,531334.75,506244.75,468609.75

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,1372,E 26th St,Oakland,CA,94606,155,21526073,5,3.0,2304,4356,1991,37.796743,-122.234571,http://www.redfin.com/CA/Oakland/1372-E-26th-St-94606/home/1340437,,http://www.zillow.com/homedetails/1372-E-26th-St-Oakland-CA-94606/24761923_zpid/,http://www.zillow.com/homedetails/1372-E-26th-St-Oakland-CA-94606/24761923_zpid/#charts-and-data,http://www.zillow.com/homes/24761923_zpid/,http://www.zillow.com/homes/comps/24761923_zpid/,24761923,599749,04/01/2016,3500,04/05/2016,0,3
redfin,2112,12th Ave,Oakland,CA,94606,0,,3,2.0,2179,6000,1907,37.795279,-122.240925,,,http://www.zillow.com/homedetails/2112-12th-Ave-Oakland-CA-94606/24760195_zpid/,http://www.zillow.com/homedetails/2112-12th-Ave-Oakland-CA-94606/24760195_zpid/#charts-and-data,http://www.zillow.com/homes/24760195_zpid/,http://www.zillow.com/homes/comps/24760195_zpid/,24760195,750116,04/01/2016,,,0.361357353386,0,950000,02/10/2016,10.0,435
redfin,2105,19th Ave,Oakland,CA,94606,0,,3,2.5,2197,4419,1957,37.791764,-122.23623,,,http://www.zillow.com/homedetails/2105-19th-Ave-Oakland-CA-94606/24760269_zpid/,http://www.zillow.com/homedetails/2105-19th-Ave-Oakland-CA-94606/24760269_zpid/#charts-and-data,http://www.zillow.com/homes/24760269_zpid/,http://www.zillow.com/homes/comps/24760269_zpid/,24760269,527164,04/01/2016,,,0.355739910075,0,465000,09/09/2015,6.0,211
redfin,1119,E 24th St,Oakland,CA,94606,0,,4,3.0,2481,3484,1907,37.797425,-122.239408,,,http://www.zillow.com/homedetails/1119-E-24th-St-Oakland-CA-94606/24761053_zpid/,http://www.zillow.com/homedetails/1119-E-24th-St-Oakland-CA-94606/24761053_zpid/#charts-and-data,http://www.zillow.com/homes/24761053_zpid/,http://www.zillow.com/homes/comps/24761053_zpid/,24761053,582590,04/01/2016,,,0.268254321735,0,418000,05/28/2015,7.0,168
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
624384,271,80640,103680,138240,372648.0,349608.0,315048.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2736,Bartlett St,OAKLAND,CA,94602,152,ML81520673,3,1.0,1080,5125,1922,37.789899,-122.208369,http://www.redfin.com/CA/Oakland/2736-Bartlett-St-94602/home/539447,,http://www.zillow.com/homedetails/2736-Bartlett-St-Oakland-CA-94602/24768998_zpid/,http://www.zillow.com/homedetails/2736-Bartlett-St-Oakland-CA-94602/24768998_zpid/#charts-and-data,http://www.zillow.com/homes/24768998_zpid/,http://www.zillow.com/homes/comps/24768998_zpid/,24768998,514736,04/01/2016,2900,04/05/2016,0,3
redfin,3212,Deering St,Oakland,CA,94601,0,,2,1.0,1156,2555,1938,37.790552,-122.215154,,,http://www.zillow.com/homedetails/3212-Deering-St-Oakland-CA-94601/24768620_zpid/,http://www.zillow.com/homedetails/3212-Deering-St-Oakland-CA-94601/24768620_zpid/#charts-and-data,http://www.zillow.com/homes/24768620_zpid/,http://www.zillow.com/homes/comps/24768620_zpid/,24768620,464323,04/01/2016,,,0.373208777744,0,440000,03/29/2016,5.0,380
redfin,3028,Brookdale Ave,Oakland,CA,94602,0,,3,2.0,1002,3484,1913,37.792147,-122.215106,,,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/#charts-and-data,http://www.zillow.com/homes/24768195_zpid/,http://www.zillow.com/homes/comps/24768195_zpid/,24768195,441656,04/01/2016,,,0.399294336045,0,384000,01/29/2016,7.0,383
redfin,3248,Bona St,Oakland,CA,94601,0,,3,1.0,1139,3049,1928,37.790683,-122.214115,,,http://www.zillow.com/homedetails/3248-Bona-St-Oakland-CA-94601/24768603_zpid/,http://www.zillow.com/homedetails/3248-Bona-St-Oakland-CA-94601/24768603_zpid/#charts-and-data,http://www.zillow.com/homes/24768603_zpid/,http://www.zillow.com/homes/comps/24768603_zpid/,24768603,418263,04/01/2016,,,0.318382218345,0,363000,07/24/2015,7.0,318
redfin,3486,Paxton Ave,Oakland,CA,94601,0,,2,1.0,1200,2825,1967,37.785904,-122.214995,,,http://www.zillow.com/homedetails/3486-Paxton-Ave-Oakland-CA-94601/24768721_zpid/,http://www.zillow.com/homedetails/3486-Paxton-Ave-Oakland-CA-94601/24768721_zpid/#charts-and-data,http://www.zillow.com/homes/24768721_zpid/,http://www.zillow.com/homes/comps/24768721_zpid/,24768721,435336,04/01/2016,,,0.455072784457,0,285000,07/24/2015,11.0,237
redfin,3448,Paxton Ave,Oakland,CA,94601,0,,3,2.0,1134,4294,1910,37.786513,-122.215725,,,http://www.zillow.com/homedetails/3448-Paxton-Ave-Oakland-CA-94601/24768729_zpid/,http://www.zillow.com/homedetails/3448-Paxton-Ave-Oakland-CA-94601/24768729_zpid/#charts-and-data,http://www.zillow.com/homes/24768729_zpid/,http://www.zillow.com/homes/comps/24768729_zpid/,24768729,561054,04/01/2016,,,0.464825945709,0,528000,05/22/2015,4.0,465
redfin,2433,35th Ave,Oakland,CA,94601,0,,2,2.0,1073,4750,1925,37.78726,-122.212148,,,http://www.zillow.com/homedetails/2433-35th-Ave-Oakland-CA-94601/24768928_zpid/,http://www.zillow.com/homedetails/2433-35th-Ave-Oakland-CA-94601/24768928_zpid/#charts-and-data,http://www.zillow.com/homes/24768928_zpid/,http://www.zillow.com/homes/comps/24768928_zpid/,24768928,460281,04/01/2016,,,0.27536258118,0,440000,04/15/2015,5.0,410
redfin,2367,Bartlett St,Oakland,CA,94601,0,,2,1.0,1206,3330,1947,37.787381,-122.213647,,,http://www.zillow.com/homedetails/2367-Bartlett-St-Oakland-CA-94601/24769145_zpid/,http://www.zillow.com/homedetails/2367-Bartlett-St-Oakland-CA-94601/24769145_zpid/#charts-and-data,http://www.zillow.com/homes/24769145_zpid/,http://www.zillow.com/homes/comps/24769145_zpid/,24769145,440988,04/01/2016,,,0.3366351035,0,420000,08/05/2015,6.0,348
redfin,3302,Laguna Way,Oakland,CA,94602,0,,3,1.5,1061,2307,1914,37.796028,-122.211731,,,http://www.zillow.com/homedetails/3302-Laguna-Way-Oakland-CA-94602/24769427_zpid/,http://www.zillow.com/homedetails/3302-Laguna-Way-Oakland-CA-94602/24769427_zpid/#charts-and-data,http://www.zillow.com/homes/24769427_zpid/,http://www.zillow.com/homes/comps/24769427_zpid/,24769427,521862,04/01/2016,,,0.461545539002,0,515000,07/22/2015,4.0,485
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
408240,378,37800,48600,64800,258380.0,247580.0,231380.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
